smiles,pic50,scaffold,n_measurements
CC(C(=O)O)N1CCc2nc(OCc3cccc(-c4ccccc4F)c3Cl)ccc2C1,7.5,c1ccc(-c2cccc(COc3ccc4c(n3)CCNC4)c2)cc1,1
CC(C)(C)OCC(NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Cl)cc1OCc1ccc2nonc2c1)C(=O)NC(CO)C(=O)O,6.41,c1ccc(-c2cccc(COc3cccc(OCc4ccc5nonc5c4)c3)c2)cc1,1
CC(C)(CO)NCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1OCc1ccnc(C#N)c1,6.64,O=C(c1cccc(OCc2ccncc2)c1)N1CCc2c(-c3ccccc3)cccc21,1
CC(C)(CO)NCc1cnc2c(N3CCc4c(-c5ccc6c(c5)OCCO6)cccc43)ncnc2c1,7.85,c1cc(-c2ccc3c(c2)OCCO3)c2c(c1)N(c1ncnc3cccnc13)CC2,1
CC(C)(CO)NCc1cnc2c(N3CCc4c(-c5ccccc5)cccc43)nccc2c1,7.35,c1ccc(-c2cccc3c2CCN3c2nccc3cccnc23)cc1,1
CC(C)(CO)NCc1cnc2c(N3CCc4c(-c5ccccc5)cccc43)ncnc2c1,8.2,c1ccc(-c2cccc3c2CCN3c2ncnc3cccnc23)cc1,1
CC(C)(NCc1cc(Cl)c(Oc2ncnc3c(-c4ccccc4)cccc23)cc1OCc1cccc(C#N)c1)C(=O)O,6.82,c1ccc(COc2cccc(Oc3ncnc4c(-c5ccccc5)cccc34)c2)cc1,1
CC(C)C(NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1)C(=O)O,6.7,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1
CC(C)C(NCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)nsc2c1)C(=O)O,7.13,c1cc(Nc2nsc3ccccc23)cc(-c2ccc3c(c2)OCCO3)c1,1
CC(C)CC(NC(=O)C(CC(C)C)NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Cl)cc1OCc1ccc2nonc2c1)C(=O)O,5.8,c1ccc(-c2cccc(COc3cccc(OCc4ccc5nonc5c4)c3)c2)cc1,1
CC(C)CC(NC(=O)C(CC(N)=O)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(N)Cc1c[nH]c2ccccc12)C(C)O)C(=O)NC(CC(N)=O)C(=O)NC(C(=O)O)C(C)O,5.87,O=C(CNC(=O)C(Cc1c[nH]cn1)NC(=O)CCc1c[nH]c2ccccc12)NCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NCC(=O)NCCc1c[nH]c2ccccc12,1
CC(C)CC(NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1)C(=O)O,7.21,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1
CC(C)OC(=O)C(CO)NCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2Br)cc1OCc1cccnc1,8.0,c1cncc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)c1,1
